文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
Zeta-1.1-40.jar,Zeta,,2026/4/25 7:54:24,,MVARlG2f,763725,K:\.minecraft\versions\BadAeroPlay\mods\Zeta-1.1-40.jar
yuushya-1.21.0-neoforge-2.3.0.jar,方块小镇 (Yuushya Townscape),,2026/4/24 17:59:03,,lfVtagkm,28197448,K:\.minecraft\versions\BadAeroPlay\mods\yuushya-1.21.0-neoforge-2.3.0.jar
yuushya_modelling-1.21.1-2.4.1.jar,方块建模 (Yuushya Modelling),,2026/4/23 23:57:43,,RxVV6ldg,693143,K:\.minecraft\versions\BadAeroPlay\mods\yuushya_modelling-1.21.1-2.4.1.jar
YungsBetterWitchHuts-1.21.1-NeoForge-4.1.1.jar,YUNG 的沼泽小屋优化 (YUNG's Better Witch Huts),,2024/10/15 4:29:19,,t5FRdP87,174789,K:\.minecraft\versions\BadAeroPlay\mods\YungsBetterWitchHuts-1.21.1-NeoForge-4.1.1.jar
YungsBetterStrongholds-1.21.1-NeoForge-5.1.3.jar,YUNG 的要塞优化 (YUNG's Better Strongholds),,2025/3/7 4:03:51,,kidLKymU,461244,K:\.minecraft\versions\BadAeroPlay\mods\YungsBetterStrongholds-1.21.1-NeoForge-5.1.3.jar
YungsBetterOceanMonuments-1.21.1-NeoForge-4.1.2.jar,YUNG 的海底神殿优化 (YUNG's Better Ocean Monuments),,2024/11/21 12:35:45,,3dT9sgt4,1025571,K:\.minecraft\versions\BadAeroPlay\mods\YungsBetterOceanMonuments-1.21.1-NeoForge-4.1.2.jar
YungsBetterNetherFortresses-1.21.1-NeoForge-3.1.5.jar,YUNG 的下界要塞优化 (YUNG's Better Nether Fortresses),,2025/6/2 7:34:40,,Z2mXHnxP,609639,K:\.minecraft\versions\BadAeroPlay\mods\YungsBetterNetherFortresses-1.21.1-NeoForge-3.1.5.jar
YungsBetterMineshafts-1.21.1-NeoForge-5.1.1.jar,YUNG 的矿井优化 (YUNG's Better Mineshafts),,2024/10/15 2:45:00,,HjmxVlSr,493967,K:\.minecraft\versions\BadAeroPlay\mods\YungsBetterMineshafts-1.21.1-NeoForge-5.1.1.jar
YungsBetterJungleTemples-1.21.1-NeoForge-3.1.2.jar,YUNG的丛林神庙优化 (YUNG's Better Jungle Temples),,2024/11/21 12:34:30,,z9Ve58Ih,795839,K:\.minecraft\versions\BadAeroPlay\mods\YungsBetterJungleTemples-1.21.1-NeoForge-3.1.2.jar
YungsBetterEndIsland-1.21.1-NeoForge-3.1.2.jar,YUNG 的末地岛屿优化 (YUNG's Better End Island),,2025/3/14 3:56:29,,2BwBOmBQ,398130,K:\.minecraft\versions\BadAeroPlay\mods\YungsBetterEndIsland-1.21.1-NeoForge-3.1.2.jar
YungsBetterDungeons-1.21.1-NeoForge-5.1.4.jar,YUNG 的地牢优化 (YUNG's Better Dungeons),,2024/12/2 6:09:34,,o1C1Dkj5,782160,K:\.minecraft\versions\BadAeroPlay\mods\YungsBetterDungeons-1.21.1-NeoForge-5.1.4.jar
YungsBetterDesertTemples-1.21.1-NeoForge-4.1.5.jar,YUNG 的沙漠神殿优化 (YUNG's Better Desert Temples),,2025/3/8 6:28:41,,XNlO7sBv,905839,K:\.minecraft\versions\BadAeroPlay\mods\YungsBetterDesertTemples-1.21.1-NeoForge-4.1.5.jar
YungsApi-1.21.1-NeoForge-5.1.6.jar,YUNG's API,,2025/7/1 15:08:10,,Ua7DFN59,388678,K:\.minecraft\versions\BadAeroPlay\mods\YungsApi-1.21.1-NeoForge-5.1.6.jar
ysm-2.6.5-neoforge+mc1.21.1-release.jar,是，史蒂夫模型 (Yes Steve Model),,2026/7/8 2:43:13,,86xjpqqS,63463229,K:\.minecraft\versions\BadAeroPlay\mods\ysm-2.6.5-neoforge+mc1.21.1-release.jar
